s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
223.9376214,89663.1052047,43185.9975495,-2.4074761,-0.1129789,7.9803509,3.0000000
225.3233503,89663.9458661,43184.8959447,-2.5783794,-0.1404707,8.4853034,1.7071575
226.7236104,89664.5859403,43183.6505397,-2.7473927,-0.1064400,8.7624941,-3.0000000
228.0979374,89664.9758164,43182.3326735,-2.9839545,-0.2042742,8.2786074,-0.7135059
229.5758229,89665.0108269,43180.8552028,3.0299452,-0.2107596,8.1502381,3.0000000
230.8664429,89664.7317609,43179.5951147,2.8604381,-0.0059431,8.6122065,3.0000000
232.0326260,89664.3475472,43178.4940411,2.7167390,-0.1698191,9.0092841,-2.0767809
233.4741128,89663.6193891,43177.2499873,2.5026544,-0.1862200,8.6706341,3.0000000
234.8251087,89662.6888741,43176.2705325,2.2735837,-0.1306381,9.1261093,3.0000000
236.0953005,89661.6560974,43175.5311005,2.1138128,-0.1162332,9.5345174,1.4318140
237.3575395,89660.5309953,43174.9589183,1.9695399,-0.1123718,9.7222222,0.0000000
238.6152286,89659.3402006,43174.5542089,1.8256642,-0.1202143,9.7222222,0.0000000
239.8186235,89658.1573146,43174.3329849,1.6867696,-0.1151541,9.7222222,0.0000000
240.9238730,89657.0538801,43174.2696686,1.5769486,-0.0747653,9.7222222,0.0000000
241.9858995,89655.9922663,43174.2992707,1.5149229,-0.0407731,9.7222222,0.0000000
243.0301280,89654.9503218,43174.3682991,1.5056234,0.0239245,9.7222222,0.0000000
244.0509034,89653.9306327,43174.4153771,1.5512039,0.0684660,9.7222222,0.0000000
245.0361957,89652.9454993,43174.3976794,1.6287220,0.0828037,9.7222222,0.0000000
246.0610323,89651.9255384,43174.2978302,1.7052113,0.0663257,9.7222222,0.0000000
247.1376263,89650.8629827,43174.1245382,1.7526307,0.0259775,9.7222222,-1.7601649
248.1954372,89649.8271145,43173.9101997,1.8048707,0.0696074,9.5287860,-3.0000000
249.2739986,89648.7887381,43173.6185341,1.8873541,0.0862444,9.1829404,-3.0000000
250.3776439,89647.7641143,43173.2084377,2.0274480,0.1491197,8.8150168,-3.0000000
251.5901139,89646.7272189,43172.5800019,2.2063267,0.1605263,8.3922406,-3.0000000
252.7894220,89645.8250363,43171.7898078,2.3649302,0.1154214,7.9519716,-3.0000000
253.9008711,89645.1170167,43170.9330540,2.5437406,0.1509892,7.5209812,-3.0000000
255.2064280,89644.5161379,43169.7739925,2.8121489,0.2872866,6.9808178,3.0000000
256.5190808,89644.2930915,43168.4804285,3.1043036,0.1725537,7.5238111,3.0000000
257.7176792,89644.3745686,43167.2846026,-2.9770909,0.1302410,7.9874479,3.0000000
258.9663084,89644.6827618,43166.0746060,-2.7985560,0.1728461,8.4434057,3.0000000
260.1702630,89645.1978403,43164.9863960,-2.6054923,0.1481058,8.8608593,3.0000000
261.3034845,89645.8486266,43164.0586740,-2.4659496,0.0873519,9.2365663,3.0000000
262.4149253,89646.5774550,43163.2195615,-2.3941786,0.0470629,9.5907664,1.2428093
263.4363226,89647.2909890,43162.4887253,-2.3423088,0.0460528,9.7222222,0.0000000
264.5010797,89648.0758083,43161.7691654,-2.2785128,0.0736392,9.7222222,0.0000000
265.5991028,89648.9402368,43161.0920996,-2.1873435,0.0994675,9.7222222,0.0000000
266.6553407,89649.8332622,43160.5280570,-2.0820431,0.0931179,9.7222222,0.0000000
267.7216983,89650.7889177,43160.0549385,-1.9771901,0.1029581,9.7222222,0.0000000
268.8019839,89651.8033224,43159.6834547,-1.8648596,0.1122251,9.7222222,0.0000000
269.8406926,89652.8130106,43159.4396405,-1.7534019,0.0962414,9.7222222,0.0000000
270.8743030,89653.8374775,43159.3024613,-1.6544339,0.0961176,9.7222222,0.0000000
271.9117048,89654.8742610,43159.2666506,-1.5572770,0.0899941,9.7222222,-1.3588415
272.9684153,89655.9290601,43159.3301795,-1.4651253,0.0836636,9.5733902,-3.0000000
274.0391210,89656.9874441,43159.4921489,-1.3695109,0.1022858,9.2317694,-3.0000000
275.0276917,89657.9456328,43159.7353490,-1.2772447,0.0886176,8.9047259,-3.0000000
275.9206046,89658.7807421,43160.0513965,-1.1246656,0.1893513,8.5986432,-2.4041712
276.9335984,89659.6562091,43160.5610179,-0.9604529,0.2027051,8.3105863,3.0000000
277.8211979,89660.3570448,43161.1056849,-0.9156835,-0.1581320,8.6250473,3.0000000
278.7292141,89661.0839482,43161.6498401,-0.8911519,0.1647925,8.9352973,-1.0364643
279.7372565,89661.8196832,43162.3389290,-0.7429187,0.1800645,8.8175926,3.0000000
280.6369890,89662.3762533,43163.0458578,-0.6099701,0.0635066,9.1185708,3.0000000
281.6458782,89662.9342095,43163.8864185,-0.5675302,0.0292071,9.4446635,-2.8507534
282.7301495,89663.5113309,43164.8043374,-0.5640623,-0.0213577,9.1115140,-3.0000000
283.8178529,89664.1023478,43165.7174627,-0.5836084,-0.0147032,8.7460544,-3.0000000
284.8463865,89664.6767323,43166.5706705,-0.6037727,-0.0294586,8.3858373,-3.0000000
285.7345050,89665.1857052,43167.2984762,-0.6085155,0.0217163,8.0618581,-3.0000000
286.6860663,89665.7488892,43168.0654786,-0.6961181,-0.2361507,7.6996226,3.0000000
287.5327787,89666.3510398,43168.6607404,-0.8709963,-0.1300201,8.0227465,3.0000000
288.3806396,89667.0285030,43169.1705558,-0.9766413,-0.1056387,8.3337643,3.0000000
289.3461049,89667.8576822,43169.6651113,-1.0965519,-0.1507236,8.6743541,-0.7529266
290.3520661,89668.7870701,43170.0500736,-1.2662274,-0.1898831,8.5865936,3.0000000
291.3541613,89669.7653753,43170.2671308,-1.4303179,-0.1398432,8.9298466,1.6196047
292.3371917,89670.7457385,43170.3394964,-1.5614237,-0.1247588,9.1063935,-3.0000000
293.3105554,89671.7174165,43170.2822358,-1.7055019,-0.1714459,8.7798759,-3.0000000
294.3036687,89672.6845325,43170.0564910,-1.8989081,-0.1968295,8.4337145,3.0000000
295.3664946,89673.6597272,43169.6338872,-2.0457096,-0.1092378,8.8036637,3.0000000
296.3553929,89674.5114943,43169.1314803,-2.1593488,-0.0953676,9.1344340,3.0000000
